cohort_month,modeled_redemption_points,development_month
2005-02,393.88,2
2005-03,551.27,2
2005-04,307.13,2
2005-05,467.9,2
2005-06,386.98,2
2005-07,422.05,2
2005-08,491.74,2
2005-09,395.52,2
2005-10,407.52,2
2005-11,343.24,2
2005-12,350.9,2
2006-01,383.14,2
2006-02,316.86,2
2006-03,419.6,2
2006-04,406.68,2
2006-05,271.44,2
2006-06,325.72,2
2006-07,505.85,2
2006-08,352.4,2
2006-09,328.13,2
2006-10,495.15,2
2006-11,541.34,2
2006-12,408.86,2
2007-01,372.48,2
2007-02,396.6,2
2007-03,367.31,2
2007-04,389.58,2
2007-05,388.32,2
2007-06,352.05,2
2007-07,466.82,2
2007-08,320.93,2
2007-09,354.7,2
2007-10,405.49,2
2007-11,353.01,2
2007-12,428.34,2
2008-01,597.69,2
2008-02,370.95,2
2008-03,522.18,2
2008-04,297.74,2
2008-05,381.95,2
2008-06,325.18,2
2008-07,384.64,2
2008-08,366.74,2
2008-09,389.24,2
2008-10,450.95,2
2008-11,340.63,2
2008-12,427.19,2
2009-01,449.0,2
2009-02,324.99,2
2009-03,580.52,2
2009-04,256.68,2
2009-05,327.52,2
2009-06,332.27,2
2009-07,348.45,2
2009-08,385.94,2
2009-09,355.85,2
2009-10,464.06,2
2009-11,431.29,2
2009-12,440.1,2
2010-01,348.41,2
2010-02,226.59,2
2010-03,343.43,2
2010-04,370.91,2
2010-05,376.93,2
2010-06,457.62,2
2010-07,355.54,2
2010-08,321.96,2
2010-09,332.62,2
2010-10,498.03,2
2010-11,322.88,2
2010-12,407.68,2
2011-01,390.54,2
2011-02,266.95,2
2011-03,426.38,2
2011-04,338.06,2
2011-05,284.82,2
2011-06,454.4,2
2011-07,318.05,2
2011-08,444.97,2
2011-09,529.65,2
2011-10,275.0,2
2011-11,355.77,2
2011-12,499.56,2
2012-01,594.82,2
2012-02,358.68,2
2012-03,592.6,2
2012-04,406.06,2
2012-05,469.24,2
2012-06,335.0,2
2012-07,497.87,2
2012-08,484.57,2
2012-09,424.96,2
2012-10,326.18,2
2012-11,445.59,2
2012-12,579.64,2
2013-01,310.73,2
2013-02,286.66,2
2013-03,458.77,2
2013-04,327.94,2
2013-05,538.28,2
2013-06,454.52,2
2013-07,612.38,2
2013-08,562.92,2
2013-09,602.75,2
2013-10,360.45,2
2013-11,461.92,2
2013-12,360.26,2
2014-01,417.87,2
2014-02,282.48,2
2014-03,373.71,2
2014-04,440.07,2
2014-05,382.95,2
2014-06,378.31,2
2014-07,550.12,2
2014-08,313.87,2
2014-09,382.45,2
2014-10,476.9,2
2014-11,435.54,2
2014-12,420.48,2
2015-01,466.25,2
2015-02,378.85,2
2015-03,469.81,2
2015-04,392.92,2
2015-05,347.84,2
2015-06,487.98,2
2015-07,396.9,2
2015-08,295.7,2
2015-09,483.23,2
2015-10,369.57,2
2015-11,422.55,2
2015-12,405.41,2
2016-01,439.88,2
2016-02,392.8,2
2016-03,439.8,2
2016-04,350.29,2
2016-05,328.13,2
2016-06,331.66,2
2016-07,330.24,2
2016-08,384.75,2
2016-09,395.48,2
2016-10,364.97,2
2016-11,391.23,2
2016-12,366.2,2
2017-01,634.49,2
2017-02,385.71,2
2017-03,415.53,2
2017-04,270.86,2
2017-05,362.06,2
2017-06,416.57,2
2017-07,445.47,2
2017-08,358.46,2
2017-09,286.31,2
2017-10,388.78,2
2017-11,447.73,2
2017-12,533.18,2
2018-01,329.82,2
2018-02,404.88,2
2018-03,423.35,2
2018-04,339.94,2
2018-05,319.32,2
2018-06,370.53,2
2018-07,368.23,2
2018-08,326.52,2
2018-09,433.66,2
2018-10,498.26,2
2018-11,367.58,2
2018-12,441.98,2
2019-01,325.91,2
2019-02,389.24,2
2019-03,477.98,2
2019-04,372.68,2
2019-05,397.52,2
2019-06,353.4,2
2019-07,450.42,2
2019-08,354.39,2
2019-09,462.18,2
2019-10,353.59,2
2019-11,505.62,2
2019-12,556.22,2
2002-09,362.33,3
2002-10,412.43,3
2002-11,372.6,3
2002-12,364.55,3
2003-01,527.08,3
2003-02,267.76,3
2003-03,675.59,3
2003-04,385.82,3
2003-05,397.06,3
2003-06,392.11,3
2003-07,354.62,3
2003-08,363.17,3
2003-09,351.06,3
2003-10,334.38,3
2003-11,371.49,3
2003-12,313.38,3
2004-01,364.86,3
2004-02,318.47,3
2004-03,328.52,3
2004-04,490.97,3
2004-05,382.34,3
2004-06,341.05,3
2004-07,705.26,3
2004-08,408.29,3
2004-09,337.98,3
2004-10,339.6,3
2004-11,413.27,3
2004-12,543.38,3
2005-01,549.93,3
2005-02,393.88,3
2005-03,551.27,3
2005-04,307.13,3
2005-05,467.9,3
2005-06,386.98,3
2005-07,422.05,3
2005-08,491.74,3
2005-09,395.52,3
2005-10,407.52,3
2005-11,343.24,3
2005-12,350.9,3
2006-01,383.14,3
2006-02,316.86,3
2006-03,419.6,3
2006-04,406.68,3
2006-05,271.44,3
2006-06,325.72,3
2006-07,505.85,3
2006-08,352.4,3
2006-09,328.13,3
2006-10,495.15,3
2006-11,541.34,3
2006-12,408.86,3
2007-01,372.48,3
2007-02,396.6,3
2007-03,367.31,3
2007-04,389.58,3
2007-05,388.32,3
2007-06,352.05,3
2007-07,466.82,3
2007-08,320.93,3
2007-09,354.7,3
2007-10,405.49,3
2007-11,353.01,3
2007-12,428.34,3
2008-01,597.69,3
2008-02,370.95,3
2008-03,522.18,3
2008-04,297.74,3
2008-05,381.95,3
2008-06,325.18,3
2008-07,384.64,3
2008-08,366.74,3
2008-09,389.24,3
2008-10,450.95,3
2008-11,340.63,3
2008-12,427.19,3
2009-01,449.0,3
2009-02,324.99,3
2009-03,580.52,3
2009-04,256.68,3
2009-05,327.52,3
2009-06,332.27,3
2009-07,348.45,3
2009-08,385.94,3
2009-09,355.85,3
2009-10,464.06,3
2009-11,431.29,3
2009-12,440.1,3
2010-01,348.41,3
2010-02,226.59,3
2010-03,343.43,3
2010-04,370.91,3
2010-05,376.93,3
2010-06,457.62,3
2010-07,355.54,3
2010-08,321.96,3
2010-09,332.62,3
2010-10,498.03,3
2010-11,322.88,3
2010-12,407.68,3
2011-01,390.54,3
2011-02,266.95,3
2011-03,426.38,3
2011-04,338.06,3
2011-05,284.82,3
2011-06,454.4,3
2011-07,318.05,3
2011-08,444.97,3
2011-09,529.65,3
2011-10,275.0,3
2011-11,355.77,3
2011-12,499.56,3
2012-01,594.82,3
2012-02,358.68,3
2012-03,592.6,3
2012-04,406.06,3
2012-05,469.24,3
2012-06,335.0,3
2012-07,497.87,3
2012-08,484.57,3
2012-09,424.96,3
2012-10,326.18,3
2012-11,445.59,3
2012-12,579.64,3
2013-01,310.73,3
2013-02,286.66,3
2013-03,458.77,3
2013-04,327.94,3
2013-05,538.28,3
2013-06,454.52,3
2013-07,612.38,3
2013-08,562.92,3
2013-09,602.75,3
2013-10,360.45,3
2013-11,461.92,3
2013-12,360.26,3
2014-01,417.87,3
2014-02,282.48,3
2014-03,373.71,3
2014-04,440.07,3
2014-05,382.95,3
2014-06,378.31,3
2014-07,550.12,3
2014-08,313.87,3
2014-09,382.45,3
2014-10,476.9,3
2014-11,435.54,3
2014-12,420.48,3
2015-01,466.25,3
2015-02,378.85,3
2015-03,469.81,3
2015-04,392.92,3
2015-05,347.84,3
2015-06,487.98,3
2015-07,396.9,3
2015-08,295.7,3
2015-09,483.23,3
2015-10,369.57,3
2015-11,422.55,3
2015-12,405.41,3
2016-01,439.88,3
2016-02,392.8,3
2016-03,439.8,3
2016-04,350.29,3
2016-05,328.13,3
2016-06,331.66,3
2016-07,330.24,3
2016-08,384.75,3
2016-09,395.48,3
2016-10,364.97,3
2016-11,391.23,3
2016-12,366.2,3
2017-01,634.49,3
2017-02,385.71,3
2017-03,415.53,3
2017-04,270.86,3
2017-05,362.06,3
2017-06,416.57,3
2017-07,445.47,3
2017-08,358.46,3
2017-09,286.31,3
2017-10,388.78,3
2017-11,447.73,3
2017-12,533.18,3
2018-01,329.82,3
2018-02,404.88,3
2018-03,423.35,3
2018-04,339.94,3
2018-05,319.32,3
2018-06,370.53,3
2018-07,368.23,3
2018-08,326.52,3
2018-09,433.66,3
2018-10,498.26,3
2018-11,367.58,3
2018-12,441.98,3
2019-01,325.91,3
2019-02,389.24,3
2019-03,477.98,3
2019-04,372.68,3
2019-05,397.52,3
2019-06,353.4,3
2019-07,450.42,3
2019-08,354.39,3
2019-09,462.18,3
2019-10,353.59,3
2019-11,505.62,3
2002-09,362.33,4
2002-10,412.43,4
2002-11,372.6,4
2002-12,364.55,4
2003-01,527.08,4
2003-02,267.76,4
2003-03,675.59,4
2003-04,385.82,4
2003-05,397.06,4
2003-06,392.11,4
2003-07,354.62,4
2003-08,363.17,4
2003-09,351.06,4
2003-10,334.38,4
2003-11,371.49,4
2003-12,313.38,4
2004-01,364.86,4
2004-02,318.47,4
2004-03,328.52,4
2004-04,490.97,4
2004-05,382.34,4
2004-06,341.05,4
2004-07,705.26,4
2004-08,408.29,4
2004-09,337.98,4
2004-10,339.6,4
2004-11,413.27,4
2004-12,543.38,4
2005-01,549.93,4
2005-02,393.88,4
2005-03,551.27,4
2005-04,307.13,4
2005-05,467.9,4
2005-06,386.98,4
2005-07,422.05,4
2005-08,491.74,4
2005-09,395.52,4
2005-10,407.52,4
2005-11,343.24,4
2005-12,350.9,4
2006-01,383.14,4
2006-02,316.86,4
2006-03,419.6,4
2006-04,406.68,4
2006-05,271.44,4
2006-06,325.72,4
2006-07,505.85,4
2006-08,352.4,4
2006-09,328.13,4
2006-10,495.15,4
2006-11,541.34,4
2006-12,408.86,4
2007-01,372.48,4
2007-02,396.6,4
2007-03,367.31,4
2007-04,389.58,4
2007-05,388.32,4
2007-06,352.05,4
2007-07,466.82,4
2007-08,320.93,4
2007-09,354.7,4
2007-10,405.49,4
2007-11,353.01,4
2007-12,428.34,4
2008-01,597.69,4
2008-02,370.95,4
2008-03,522.18,4
2008-04,297.74,4
2008-05,381.95,4
2008-06,325.18,4
2008-07,384.64,4
2008-08,366.74,4
2008-09,389.24,4
2008-10,450.95,4
2008-11,340.63,4
2008-12,427.19,4
2009-01,449.0,4
2009-02,324.99,4
2009-03,580.52,4
2009-04,256.68,4
2009-05,327.52,4
2009-06,332.27,4
2009-07,348.45,4
2009-08,385.94,4
2009-09,355.85,4
2009-10,464.06,4
2009-11,431.29,4
2009-12,440.1,4
2010-01,348.41,4
2010-02,226.59,4
2010-03,343.43,4
2010-04,370.91,4
2010-05,376.93,4
2010-06,457.62,4
2010-07,355.54,4
2010-08,321.96,4
2010-09,332.62,4
2010-10,498.03,4
2010-11,322.88,4
2010-12,407.68,4
2011-01,390.54,4
2011-02,266.95,4
2011-03,426.38,4
2011-04,338.06,4
2011-05,284.82,4
2011-06,454.4,4
2011-07,318.05,4
2011-08,444.97,4
2011-09,529.65,4
2011-10,275.0,4
2011-11,355.77,4
2011-12,499.56,4
2012-01,594.82,4
2012-02,358.68,4
2012-03,592.6,4
2012-04,406.06,4
2012-05,469.24,4
2012-06,335.0,4
2012-07,497.87,4
2012-08,484.57,4
2012-09,424.96,4
2012-10,326.18,4
2012-11,445.59,4
2012-12,579.64,4
2013-01,310.73,4
2013-02,286.66,4
2013-03,458.77,4
2013-04,327.94,4
2013-05,538.28,4
2013-06,454.52,4
2013-07,612.38,4
2013-08,562.92,4
2013-09,602.75,4
2013-10,360.45,4
2013-11,461.92,4
2013-12,360.26,4
2014-01,417.87,4
2014-02,282.48,4
2014-03,373.71,4
2014-04,440.07,4
2014-05,382.95,4
2014-06,378.31,4
2014-07,550.12,4
2014-08,313.87,4
2014-09,382.45,4
2014-10,476.9,4
2014-11,435.54,4
2014-12,420.48,4
2015-01,466.25,4
2015-02,378.85,4
2015-03,469.81,4
2015-04,392.92,4
2015-05,347.84,4
2015-06,487.98,4
2015-07,396.9,4
2015-08,295.7,4
2015-09,483.23,4
2015-10,369.57,4
2015-11,422.55,4
2015-12,405.41,4
2016-01,439.88,4
2016-02,392.8,4
2016-03,439.8,4
2016-04,350.29,4
2016-05,328.13,4
2016-06,331.66,4
2016-07,330.24,4
2016-08,384.75,4
2016-09,395.48,4
2016-10,364.97,4
2016-11,391.23,4
2016-12,366.2,4
2017-01,634.49,4
2017-02,385.71,4
2017-03,415.53,4
2017-04,270.86,4
2017-05,362.06,4
2017-06,416.57,4
2017-07,445.47,4
2017-08,358.46,4
2017-09,286.31,4
2017-10,388.78,4
2017-11,447.73,4
2017-12,533.18,4
2018-01,329.82,4
2018-02,404.88,4
2018-03,423.35,4
2018-04,339.94,4
2018-05,319.32,4
2018-06,370.53,4
2018-07,368.23,4
2018-08,326.52,4
2018-09,433.66,4
2018-10,498.26,4
2018-11,367.58,4
2018-12,441.98,4
2019-01,325.91,4
2019-02,389.24,4
2019-03,477.98,4
2019-04,372.68,4
2019-05,397.52,4
2019-06,353.4,4
2019-07,450.42,4
2019-08,354.39,4
2019-09,462.18,4
2019-10,353.59,4
2002-09,362.33,5
2002-10,412.43,5
2002-11,372.6,5
2002-12,364.55,5
2003-01,527.08,5
2003-02,267.76,5
2003-03,675.59,5
2003-04,385.82,5
2003-05,397.06,5
2003-06,392.11,5
2003-07,354.62,5
2003-08,363.17,5
2003-09,351.06,5
2003-10,334.38,5
2003-11,371.49,5
2003-12,313.38,5
2004-01,364.86,5
2004-02,318.47,5
2004-03,328.52,5
2004-04,490.97,5
2004-05,382.34,5
2004-06,341.05,5
2004-07,705.26,5
2004-08,408.29,5
2004-09,337.98,5
2004-10,339.6,5
2004-11,413.27,5
2004-12,543.38,5
2005-01,549.93,5
2005-02,393.88,5
2005-03,551.27,5
2005-04,307.13,5
2005-05,467.9,5
2005-06,386.98,5
2005-07,422.05,5
2005-08,491.74,5
2005-09,395.52,5
2005-10,407.52,5
2005-11,343.24,5
2005-12,350.9,5
2006-01,383.14,5
2006-02,316.86,5
2006-03,419.6,5
2006-04,406.68,5
2006-05,271.44,5
2006-06,325.72,5
2006-07,505.85,5
2006-08,352.4,5
2006-09,328.13,5
2006-10,495.15,5
2006-11,541.34,5
2006-12,408.86,5
2007-01,372.48,5
2007-02,396.6,5
2007-03,367.31,5
2007-04,389.58,5
2007-05,388.32,5
2007-06,352.05,5
2007-07,466.82,5
2007-08,320.93,5
2007-09,354.7,5
2007-10,405.49,5
2007-11,353.01,5
2007-12,428.34,5
2008-01,597.69,5
2008-02,370.95,5
2008-03,522.18,5
2008-04,297.74,5
2008-05,381.95,5
2008-06,325.18,5
2008-07,384.64,5
2008-08,366.74,5
2008-09,389.24,5
2008-10,450.95,5
2008-11,340.63,5
2008-12,427.19,5
2009-01,449.0,5
2009-02,324.99,5
2009-03,580.52,5
2009-04,256.68,5
2009-05,327.52,5
2009-06,332.27,5
2009-07,348.45,5
2009-08,385.94,5
2009-09,355.85,5
2009-10,464.06,5
2009-11,431.29,5
2009-12,440.1,5
2010-01,348.41,5
2010-02,226.59,5
2010-03,343.43,5
2010-04,370.91,5
2010-05,376.93,5
2010-06,457.62,5
2010-07,355.54,5
2010-08,321.96,5
2010-09,332.62,5
2010-10,498.03,5
2010-11,322.88,5
2010-12,407.68,5
2011-01,390.54,5
2011-02,266.95,5
2011-03,426.38,5
2011-04,338.06,5
2011-05,284.82,5
2011-06,454.4,5
2011-07,318.05,5
2011-08,444.97,5
2011-09,529.65,5
2011-10,275.0,5
2011-11,355.77,5
2011-12,499.56,5
2012-01,594.82,5
2012-02,358.68,5
2012-03,592.6,5
2012-04,406.06,5
2012-05,469.24,5
2012-06,335.0,5
2012-07,497.87,5
2012-08,484.57,5
2012-09,424.96,5
2012-10,326.18,5
2012-11,445.59,5
2012-12,579.64,5
2013-01,310.73,5
2013-02,286.66,5
2013-03,458.77,5
2013-04,327.94,5
2013-05,538.28,5
2013-06,454.52,5
2013-07,612.38,5
2013-08,562.92,5
2013-09,602.75,5
2013-10,360.45,5
2013-11,461.92,5
2013-12,360.26,5
2014-01,417.87,5
2014-02,282.48,5
2014-03,373.71,5
2014-04,440.07,5
2014-05,382.95,5
2014-06,378.31,5
2014-07,550.12,5
2014-08,313.87,5
2014-09,382.45,5
2014-10,476.9,5
2014-11,435.54,5
2014-12,420.48,5
2015-01,466.25,5
2015-02,378.85,5
2015-03,469.81,5
2015-04,392.92,5
2015-05,347.84,5
2015-06,487.98,5
2015-07,396.9,5
2015-08,295.7,5
2015-09,483.23,5
2015-10,369.57,5
2015-11,422.55,5
2015-12,405.41,5
2016-01,439.88,5
2016-02,392.8,5
2016-03,439.8,5
2016-04,350.29,5
2016-05,328.13,5
2016-06,331.66,5
2016-07,330.24,5
2016-08,384.75,5
2016-09,395.48,5
2016-10,364.97,5
2016-11,391.23,5
2016-12,366.2,5
2017-01,634.49,5
2017-02,385.71,5
2017-03,415.53,5
2017-04,270.86,5
2017-05,362.06,5
2017-06,416.57,5
2017-07,445.47,5
2017-08,358.46,5
2017-09,286.31,5
2017-10,388.78,5
2017-11,447.73,5
2017-12,533.18,5
2018-01,329.82,5
2018-02,404.88,5
2018-03,423.35,5
2018-04,339.94,5
2018-05,319.32,5
2018-06,370.53,5
2018-07,368.23,5
2018-08,326.52,5
2018-09,433.66,5
2018-10,498.26,5
2018-11,367.58,5
2018-12,441.98,5
2019-01,325.91,5
2019-02,389.24,5
2019-03,477.98,5
2019-04,372.68,5
2019-05,397.52,5
2019-06,353.4,5
2019-07,450.42,5
2019-08,354.39,5
2019-09,462.18,5
2002-09,362.33,6
2002-10,412.43,6
2002-11,372.6,6
2002-12,364.55,6
2003-01,527.08,6
2003-02,267.76,6
2003-03,675.59,6
2003-04,385.82,6
2003-05,397.06,6
2003-06,392.11,6
2003-07,354.62,6
2003-08,363.17,6
2003-09,351.06,6
2003-10,334.38,6
2003-11,371.49,6
2003-12,313.38,6
2004-01,364.86,6
2004-02,318.47,6
2004-03,328.52,6
2004-04,490.97,6
2004-05,382.34,6
2004-06,341.05,6
2004-07,705.26,6
2004-08,408.29,6
2004-09,337.98,6
2004-10,339.6,6
2004-11,413.27,6
2004-12,543.38,6
2005-01,549.93,6
2005-02,393.88,6
2005-03,551.27,6
2005-04,307.13,6
2005-05,467.9,6
2005-06,386.98,6
2005-07,422.05,6
2005-08,491.74,6
2005-09,395.52,6
2005-10,407.52,6
2005-11,343.24,6
2005-12,350.9,6
2006-01,383.14,6
2006-02,316.86,6
2006-03,419.6,6
2006-04,406.68,6
2006-05,271.44,6
2006-06,325.72,6
2006-07,505.85,6
2006-08,352.4,6
2006-09,328.13,6
2006-10,495.15,6
2006-11,541.34,6
2006-12,408.86,6
2007-01,372.48,6
2007-02,396.6,6
2007-03,367.31,6
2007-04,389.58,6
2007-05,388.32,6
2007-06,352.05,6
2007-07,466.82,6
2007-08,320.93,6
2007-09,354.7,6
2007-10,405.49,6
2007-11,353.01,6
2007-12,428.34,6
2008-01,597.69,6
2008-02,370.95,6
2008-03,522.18,6
2008-04,297.74,6
2008-05,381.95,6
2008-06,325.18,6
2008-07,384.64,6
2008-08,366.74,6
2008-09,389.24,6
2008-10,450.95,6
2008-11,340.63,6
2008-12,427.19,6
2009-01,449.0,6
2009-02,324.99,6
2009-03,580.52,6
2009-04,256.68,6
2009-05,327.52,6
2009-06,332.27,6
2009-07,348.45,6
2009-08,385.94,6
2009-09,355.85,6
2009-10,464.06,6
2009-11,431.29,6
2009-12,440.1,6
2010-01,348.41,6
2010-02,226.59,6
2010-03,343.43,6
2010-04,370.91,6
2010-05,376.93,6
2010-06,457.62,6
2010-07,355.54,6
2010-08,321.96,6
2010-09,332.62,6
2010-10,498.03,6
2010-11,322.88,6
2010-12,407.68,6
2011-01,390.54,6
2011-02,266.95,6
2011-03,426.38,6
2011-04,338.06,6
2011-05,284.82,6
2011-06,454.4,6
2011-07,318.05,6
2011-08,444.97,6
2011-09,529.65,6
2011-10,275.0,6
2011-11,355.77,6
2011-12,499.56,6
2012-01,594.82,6
2012-02,358.68,6
2012-03,592.6,6
2012-04,406.06,6
2012-05,469.24,6
2012-06,335.0,6
2012-07,497.87,6
2012-08,484.57,6
2012-09,424.96,6
2012-10,326.18,6
2012-11,445.59,6
2012-12,579.64,6
2013-01,310.73,6
2013-02,286.66,6
2013-03,458.77,6
2013-04,327.94,6
2013-05,538.28,6
2013-06,454.52,6
2013-07,612.38,6
2013-08,562.92,6
2013-09,602.75,6
2013-10,360.45,6
2013-11,461.92,6
2013-12,360.26,6
2014-01,417.87,6
2014-02,282.48,6
2014-03,373.71,6
2014-04,440.07,6
2014-05,382.95,6
2014-06,378.31,6
2014-07,550.12,6
2014-08,313.87,6
2014-09,382.45,6
2014-10,476.9,6
2014-11,435.54,6
2014-12,420.48,6
2015-01,466.25,6
2015-02,378.85,6
2015-03,469.81,6
2015-04,392.92,6
2015-05,347.84,6
2015-06,487.98,6
2015-07,396.9,6
2015-08,295.7,6
2015-09,483.23,6
2015-10,369.57,6
2015-11,422.55,6
2015-12,405.41,6
2016-01,439.88,6
2016-02,392.8,6
2016-03,439.8,6
2016-04,350.29,6
2016-05,328.13,6
2016-06,331.66,6
2016-07,330.24,6
2016-08,384.75,6
2016-09,395.48,6
2016-10,364.97,6
2016-11,391.23,6
2016-12,366.2,6
2017-01,634.49,6
2017-02,385.71,6
2017-03,415.53,6
2017-04,270.86,6
2017-05,362.06,6
2017-06,416.57,6
2017-07,445.47,6
2017-08,358.46,6
2017-09,286.31,6
2017-10,388.78,6
2017-11,447.73,6
2017-12,533.18,6
2018-01,329.82,6
2018-02,404.88,6
2018-03,423.35,6
2018-04,339.94,6
2018-05,319.32,6
2018-06,370.53,6
2018-07,368.23,6
2018-08,326.52,6
2018-09,433.66,6
2018-10,498.26,6
2018-11,367.58,6
2018-12,441.98,6
2019-01,325.91,6
2019-02,389.24,6
2019-03,477.98,6
2019-04,372.68,6
2019-05,397.52,6
2019-06,353.4,6
2019-07,450.42,6
2019-08,354.39,6
2002-09,362.33,7
2002-10,412.43,7
2002-11,372.6,7
2002-12,364.55,7
2003-01,527.08,7
2003-02,267.76,7
2003-03,675.59,7
2003-04,385.82,7
2003-05,397.06,7
2003-06,392.11,7
2003-07,354.62,7
2003-08,363.17,7
2003-09,351.06,7
2003-10,334.38,7
2003-11,371.49,7
2003-12,313.38,7
2004-01,364.86,7
2004-02,318.47,7
2004-03,328.52,7
2004-04,490.97,7
2004-05,382.34,7
2004-06,341.05,7
2004-07,705.26,7
2004-08,408.29,7
2004-09,337.98,7
2004-10,339.6,7
2004-11,413.27,7
2004-12,543.38,7
2005-01,549.93,7
2005-02,393.88,7
