transaction_date,transaction_amount_usd,points_issued,modeled_liability_usd
2008-08,7605.26,9567,0.0
2008-09,7948.33,10154,0.0
2008-10,9360.12,11764,0.0
2008-11,6943.02,8886,0.0
2008-12,8329.45,11144,0.0
2009-01,7877.79,11713,0.0
2009-02,6335.59,8478,0.0
2009-03,9780.61,15144,0.0
2009-04,5471.62,6696,0.0
2009-05,7119.0199999999995,8544,0.0
2009-06,6357.21,8668,0.0
2009-07,7435.5599999999995,9090,0.0
2009-08,8053.16,10068,0.0
2009-09,7421.56,9283,0.0
2009-10,8844.2,12106,0.0
2009-11,8302.56,11251,0.0
2009-12,8330.97,11481,0.0
2010-01,7947.43,9089,0.0
2010-02,4908.42,5911,0.0
2010-03,7489.69,8959,0.0
2010-04,7612.28,9676,0.0
2010-05,7499.69,9833,0.0
2010-06,8155.64,11938,0.0
2010-07,6760.41,9275,0.0
2010-08,6848.1,8399,0.0
2010-09,6840.82,8677,0.0
2010-10,8866.51,12992,0.0
2010-11,7099.21,8423,0.0
2010-12,8437.85,10635,0.0
2011-01,8312.22,10188,0.0
2011-02,5213.12,6964,0.0
2011-03,8167.58,11123,0.0
2011-04,7348.51,8819,0.0
2011-05,5680.62,7430,0.0
2011-06,8669.59,11854,0.0
2011-07,6742.82,8297,0.0
2011-08,8897.17,11608,0.0
2011-09,8177.66,13817,0.0
2011-10,6876.9,7174,0.0
2011-11,7112.45,9281,0.0
2011-12,8041.36,13032,0.0
2012-01,10394.5,15517,0.0
2012-02,8111.87,9357,0.0
2012-03,9463.24,15459,0.0
2012-04,8602.44,10593,0.0
2012-05,8045.42,12241,0.0
2012-06,6785.31,8739,0.0
2012-07,8375.42,12988,0.0
2012-08,8143.67,12641,0.0
2012-09,7535.75,11086,0.0
2012-10,6616.99,8509,0.0
2012-11,7285.3,11624,0.0
2012-12,9867.27,15121,0.0
2013-01,5831.69,8106,0.0
2013-02,6208.15,7478,0.0
2013-03,8328.54,11968,0.0
2013-04,7507.98,8555,0.0
2013-05,9161.74,14042,0.0
2013-06,7841.65,11857,0.0
2013-07,9295.0,15975,0.0
2013-08,10468.45,14685,0.0
2013-09,8671.41,15724,0.0
2013-10,7883.17,9403,0.0
2013-11,8308.39,12050,0.0
2013-12,6462.87,9398,0.0
2014-01,8599.09,10901,0.0
2014-02,5560.76,7369,0.0
2014-03,7200.88,9749,0.0
2014-04,8693.18,11480,0.0
2014-05,7534.71,9990,0.0
2014-06,8321.45,9869,0.0
2014-07,9027.2,14351,0.0
2014-08,6421.96,8188,0.0
2014-09,7584.17,9977,0.0
2014-10,10063.84,12441,0.0
2014-11,8293.16,11362,0.0
2014-12,6928.45,10969,0.0
2015-01,8162.38,12163,0.0
2015-02,6638.2,9883,0.0
2015-03,8520.91,12256,0.0
2015-04,7472.56,10250,0.0
2015-05,7354.22,9074,0.0
2015-06,9279.04,12730,0.0
2015-07,7832.51,10354,0.0
2015-08,6409.38,7714,0.0
2015-09,7828.01,12606,0.0
2015-10,7465.1900000000005,9641,0.0
2015-11,8297.47,11023,0.0
2015-12,8664.1,10576,0.0
2016-01,8794.01,11475,0.0
2016-02,8303.2,10247,0.0
2016-03,8092.3,11473,0.0
2016-04,6219.04,9138,0.0
2016-05,6185.2699999999995,8560,0.0
2016-06,7384.87,8652,0.0
2016-07,6302.88,8615,0.0
2016-08,7397.78,10037,0.0
2016-09,7899.35,10317,0.0
2016-10,8287.55,9521,0.0
2016-11,8127.84,10206,0.0
2016-12,7052.68,9553,0.0
2017-01,9538.44,16552,0.0
2017-02,7016.15,10062,0.0
2017-03,7322.6,10840,0.0
2017-04,6537.68,7066,0.0
2017-05,8397.66,9445,0.0
2017-06,7314.28,10867,0.0
2017-07,8240.15,11621,0.0
2017-08,7501.6,9351,0.0
2017-09,5590.91,7469,0.0
2017-10,7923.45,10142,0.0
2017-11,8221.44,11680,0.0
2017-12,9333.88,13909,0.0
2018-01,6529.99,8604,0.0
2018-02,7361.14,10562,0.0
2018-03,9036.27,11044,4.4
2018-04,6694.69,8868,7.04
2018-05,6581.22,8330,9.99
2018-06,7010.38,9666,17.14
2018-07,7638.33,9606,21.31
2018-08,7112.57,8518,20.12
2018-09,8549.81,11313,30.29
2018-10,8587.32,12998,43.910000000000004
2018-11,6953.51,9589,36.82
2018-12,8499.82,11530,45.3
2019-01,6948.54,8502,44.79
2019-02,7593.099999999999,10154,46.99
2019-03,8299.68,12469,62.02
2019-04,7281.6,9722,57.2
2019-05,8231.43,10370,63.14
2019-06,8025.13,9219,58.04
2019-07,9149.91,11750,77.8
2019-08,7328.24,9245,65.44
2019-09,7878.38,12057,89.17
2019-10,7067.14,9224,79.91
2019-11,8355.28,13190,126.35
2019-12,8654.11,14510,126.86
2020-01,6739.3,7905,87.31
2020-02,6783.72,9151,97.76
